id,name,year,context,data_provided,acquisition,participants,scale,tasks,url,bibtex_key,last_verified
atspm,ATSPM / controller-event data,2020,signalized,signal states and controller events,infrastructure operational,vehicles,network,traffic optimization,https://ops.fhwa.dot.gov/publications/fhwahop20002/index.htm,FHWA_ATSPM,2026-08-27
nyc-cvp,NYC Connected Vehicle Pilot,2022,signalized,trajectories; signal; sensor; V2X; map,onboard infrastructure cooperative operational,vehicles and VRUs,network,traffic optimization; V2X cooperation; safety assessment,https://catalog.data.gov/dataset/connected-vehicle-pilot-cvp-open-data,USDOT_SDC,2026-08-27
tampa-cvp,Tampa Connected Vehicle Pilot,2021,signalized,trajectories; signal; sensor; V2X; map,onboard infrastructure cooperative operational,vehicles and VRUs,network,traffic optimization; V2X cooperation; safety assessment,https://rosap.ntl.bts.gov/view/dot/55818,USDOT_THEA_Eval,2026-08-27
mmitss,MMITSS field data,2015,signalized,trajectories; signal; V2X; map,onboard infrastructure cooperative operational,vehicles,multi-site,traffic optimization; V2X cooperation,https://doi.org/10.21949/1518705,USDOT_MMITSS,2026-08-27
utah-spat,Traffic Signal Change and Clearance Interval releases,2025,signalized,trajectories; signal; V2X; annotations,onboard infrastructure cooperative operational,vehicles,multi-site,traffic optimization; V2X cooperation; safety assessment,https://data.transportation.gov/Automobiles/Traffic-Signal-Change-and-Clearance-Interval-Poole/j7k2-8r24,USDOT_UtahSPaT,2026-08-27
spmd,Safety Pilot Model Deployment,2014,both,trajectories; sensor; V2X; map; annotations,onboard infrastructure cooperative operational,vehicles,network,V2X cooperation; safety assessment; interaction analysis,https://doi.org/10.21949/1504482,USDOT_SPMD,2026-08-27
ngsim-arterial,NGSIM arterial datasets,2006,signalized,trajectories; signal,infrastructure,vehicles,multi-site,traffic optimization; interaction analysis,https://ops.fhwa.dot.gov/trafficanalysistools/ngsim.htm,CoifmanLi2017NGSIM,2026-08-27
ind,inD,2020,non-signalized,trajectories; map,aerial,vehicles and VRUs,multi-site,motion planning; interaction analysis,https://levelxdata.com/ind-dataset/,bock2020ind,2026-08-27
interaction,INTERACTION,2019,both,trajectories; map,aerial infrastructure,vehicles and VRUs,multi-site,motion planning; interaction analysis,https://interaction-dataset.com/,Zhan2019INTERACTION,2026-08-27
round,rounD,2020,non-signalized,trajectories; map,aerial,vehicles and VRUs,multi-site,safety assessment; interaction analysis,https://levelxdata.com/round-dataset/,Krajewski2020rounD,2026-08-27
opendd,openDD,2020,non-signalized,trajectories; map,aerial,vehicles and VRUs,multi-site,motion planning; interaction analysis,https://l3pilot.eu/data/opendd,Breuer2020openDD,2026-08-27
pneuma,pNEUMA,2020,both,trajectories; map,aerial,vehicles,network,traffic optimization; safety assessment; interaction analysis,https://open-traffic.epfl.ch/,Barmpounakis2020pNEUMA,2026-08-27
citysim,CitySim,2024,both,trajectories; signal; map,aerial,vehicles,multi-site,motion planning; safety assessment; interaction analysis,https://github.com/ozheng1993/UCF-SST-CitySim-Dataset,Zheng2024CitySim,2026-08-27
sind,SinD,2022,signalized,trajectories; signal; map; annotations,aerial,vehicles and VRUs,single,motion planning; safety assessment; interaction analysis,https://github.com/SOTIF-AVLab/SinD,Xu2022SIND,2026-08-27
sind-2,SinD 2.0,2026,signalized,trajectories; signal; map; annotations,aerial,vehicles and VRUs,multi-site,motion planning; safety assessment; interaction analysis,https://doi.org/10.48550/arXiv.2607.16943,Li2026SinD2,2026-08-27
