id,title,year,venue,intersection_context,traffic_context,method_family,coordination_architecture,evidence_level,paper_url,code_url,code_status,bibtex_key,last_verified
webster-1958-signal-settings,Traffic Signal Settings,1958,Road Research Technical Paper 39,signalized,HDV,rule-based-traffic-engineering,centralized,analytical,https://www.sinaldetransito.com.br/artigos/traffic_signals_webster.pdf,,not-found,Webster1958SignalSettings,2026-08-27
liu-2009-queue-estimation,Real-Time Queue Length Estimation for Congested Signalized Intersections,2009,Transportation Research Part C,signalized,HDV,prediction-estimation,not-applicable,field-data,https://doi.org/10.1016/j.trc.2009.02.003,,not-found,Liu2009QueueLength,2026-08-27
fajardo-2011-automated-intersection,Automated Intersection Control: Performance of a Future Innovation Versus Current Traffic Signal Control,2011,Transportation Research Record,non-signalized,full CAV,optimization,centralized,single-domain-simulation,https://doi.org/10.3141/2259-21,,not-found,Fajardo2011AutomatedIntersection,2026-08-27
qin-2012-ev-preemption,Control Strategies of Traffic Signal Timing Transition for Emergency Vehicle Preemption,2012,Transportation Research Part C,signalized,mixed,optimization,centralized,single-domain-simulation,https://doi.org/10.1016/j.trc.2012.04.004,,not-found,Qin2012EVPreemptionTransition,2026-08-27
goodall-2013-connected-signal,Traffic Signal Control with Connected Vehicles,2013,Transportation Research Record,signalized,CV-assisted,cooperative-v2x,centralized,single-domain-simulation,https://doi.org/10.3141/2381-08,,not-found,Goodall2013CVSignal,2026-08-27
varaiya-2013-max-pressure,Max Pressure Control of a Network of Signalized Intersections,2013,Transportation Research Part C,signalized,HDV,rule-based-traffic-engineering,decentralized,analytical,https://doi.org/10.1016/j.trc.2013.08.014,,not-found,Varaiya2013MaxPressure,2026-08-27
carlino-2013-auction-aim,Auction-Based Autonomous Intersection Management,2013,IEEE ITSC,non-signalized,full CAV,optimization,centralized,single-domain-simulation,https://doi.org/10.1109/ITSC.2013.6728285,,not-found,Carlino2013AuctionAIM,2026-08-27
feng-2015-adaptive-cv,A Real-Time Adaptive Signal Control in a Connected Vehicle Environment,2015,Transportation Research Part C,signalized,CV-assisted,cooperative-v2x,centralized,single-domain-simulation,https://doi.org/10.1016/j.trc.2015.01.007,,not-found,Feng2015CVAdaptiveSignal,2026-08-27
shirazi-2017-intersection-monitoring,Looking at Intersections: A Survey of Intersection Monitoring Behavior and Safety Analysis,2017,IEEE T-ITS,both,varied,prediction-estimation,not-applicable,review,https://doi.org/10.1109/TITS.2016.2568920,,not-found,Shirazi2017,2026-08-27
yu-2017-vehicle-pedestrian-signals,Optimization of Vehicle and Pedestrian Signals at Isolated Intersections,2017,Transportation Research Part B,signalized,multimodal,optimization,centralized,analytical,https://doi.org/10.1016/j.trb.2016.12.015,,not-found,Yu2017VehiclePedestrianSignals,2026-08-27
